
,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,10-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,52,,Staff,75,,Security,63,,Aroyga & Bank,4,,Cabs,307,,1594,,,
,,Bakul Nivas,21,,Support staff,54,,Housekeeping,168,,Vendors,55,,House maids,12,,,,,
,,Kadamba Nivas,10,,ARL & I HUB,80,,Milk & Paper,8,,Couriers,20,,Civil Vendors,12,,,,,
,,Parijat Nivas,13,,Internship,0,,Visitors,23,,Food Delivery,80,,Mess workers,27,,,,,
,,Faculty,14,,Dayscholor,18,,Event Visitors,303,,CIE / Visitors,175,,,,,,,,
,Total ,,110,,Total,227,,Total,565,,Total,334,,Total,358,,,,,

,11-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,22,,Staff,0,,Security,63,,Aroyga & Bank,6,,Cabs,210,,966,,,
,,Bakul Nivas,19,,Support staff,8,,Housekeeping,35,,Vendors,35,,House maids,2,,,,,
,,Kadamba Nivas,10,,ARL & I HUB,0,,Milk & Paper,8,,Couriers,33,,Civil Vendors,2,,,,,
,,Parijat Nivas,27,,Internship,0,,Visitors,5,,Food Delivery,46,,Mess workers,18,,,,,
,,Faculty,0,,Dayscholor,0,,Event Visitors,407,,CIE / Visitors,10,,,,,,,,
,Total ,,78,,Total,8,,Total,518,,Total,130,,Total,232,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,12-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,22,,Staff,75,,Security,63,,Aroyga & Bank,9,,Cabs,72,,1317,,,
,,Bakul Nivas,14,,Support staff,46,,Housekeeping,162,,Vendors,38,,House maids,15,,,,,
,,Kadamba Nivas,12,,ARL & I HUB,90,,Milk & Paper,11,,Couriers,77,,Civil Vendors,14,,,,,
,,Parijat Nivas,17,,Internship,0,,Visitors,13,,Food Delivery,322,,Mess workers,36,,,,,
,,Faculty,18,,Dayscholor,15,,Event Visitors,0,,CIE / Visitors,176,,,,,,,,
,Total ,,83,,Total,226,,Total,249,,Total,622,,Total,137,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,13-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,18,,Staff,78,,Security,63,,Aroyga & Bank,9,,Cabs,78,,1285,,,
,,Bakul Nivas,16,,Support staff,46,,Housekeeping,160,,Vendors,44,,House maids,11,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,90,,Milk & Paper,11,,Couriers,59,,Civil Vendors,11,,,,,
,,Parijat Nivas,20,,Internship,0,,Visitors,14,,Food Delivery,327,,Mess workers,22,,,,,
,,Faculty,12,,Dayscholor,15,,Event Visitors,0,,CIE / Visitors,170,,,,,,,,
,Total ,,77,,Total,229,,Total,248,,Total,609,,Total,122,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,14-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,21,,Staff,70,,Security,63,,Aroyga & Bank,8,,Cabs,68,,1342,,,
,,Bakul Nivas,12,,Support staff,46,,Housekeeping,168,,Vendors,37,,House maids,14,,,,,
,,Kadamba Nivas,8,,ARL & I HUB,82,,Milk & Paper,11,,Couriers,88,,Civil Vendors,17,,,,,
,,Parijat Nivas,16,,Internship,0,,Visitors,18,,Food Delivery,348,,Mess workers,30,,,,,
,,Faculty,17,,Dayscholor,15,,Event Visitors,0,,CIE / Visitors,185,,,,,,,,
,Total ,,74,,Total,213,,Total,260,,Total,666,,Total,129,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,15-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,30,,Staff,72,,Security,63,,Aroyga & Bank,8,,Cabs,66,,1406,,,
,,Bakul Nivas,18,,Support staff,38,,Housekeeping,168,,Vendors,40,,House maids,13,,,,,
,,Kadamba Nivas,20,,ARL & I HUB,90,,Milk & Paper,11,,Couriers,78,,Civil Vendors,15,,,,,
,,Parijat Nivas,25,,Internship,1,,Visitors,19,,Food Delivery,283,,Mess workers,40,,,,,
,,Faculty,16,,Dayscholor,16,,Event Visitors,95,,CIE / Visitors,181,,,,,,,,
,Total ,,109,,Total,217,,Total,356,,Total,590,,Total,134,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,16-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,30,,Staff,68,,Security,63,,Aroyga & Bank,8,,Cabs,223,,1501,,,
,,Bakul Nivas,21,,Support staff,44,,Housekeeping,172,,Vendors,34,,House maids,14,,,,,
,,Kadamba Nivas,12,,ARL & I HUB,95,,Milk & Paper,10,,Couriers,68,,Civil Vendors,19,,,,,
,,Parijat Nivas,25,,Internship,1,,Visitors,33,,Food Delivery,279,,Mess workers,31,,,,,
,,Faculty,18,,Dayscholor,15,,Event Visitors,0,,CIE / Visitors,218,,,,,,,,
,Total ,,106,,Total,223,,Total,278,,Total,607,,Total,287,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,17-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,32,,Staff,65,,Security,63,,Aroyga & Bank,8,,Cabs,64,,1403,,,
,,Bakul Nivas,16,,Support staff,41,,Housekeeping,176,,Vendors,32,,House maids,14,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,90,,Milk & Paper,12,,Couriers,67,,Civil Vendors,26,,,,,
,,Parijat Nivas,25,,Internship,0,,Visitors,28,,Food Delivery,276,,Mess workers,29,,,,,
,,Faculty,12,,Dayscholor,12,,Event Visitors,139,,CIE / Visitors,165,,,,,,,,
,Total ,,96,,Total,208,,Total,418,,Total,548,,Total,133,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,18-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,40,,Staff,0,,Security,63,,Aroyga & Bank,3,,Cabs,58,,812,,,
,,Bakul Nivas,31,,Support staff,1,,Housekeeping,15,,Vendors,13,,House maids,4,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,0,,Milk & Paper,12,,Couriers,65,,Civil Vendors,6,,,,,
,,Parijat Nivas,22,,Internship,0,,Visitors,25,,Food Delivery,380,,Mess workers,28,,,,,
,,Faculty,1,,Dayscholor,0,,Event Visitors,34,,CIE / Visitors,0,,,,,,,,
,Total ,,105,,Total,1,,Total,149,,Total,461,,Total,96,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,19-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,30,,Staff,65,,Security,63,,Aroyga & Bank,8,,Cabs,64,,1350,,,
,,Bakul Nivas,21,,Support staff,44,,Housekeeping,170,,Vendors,27,,House maids,11,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,70,,Milk & Paper,10,,Couriers,75,,Civil Vendors,10,,,,,
,,Parijat Nivas,12,,Internship,0,,Visitors,20,,Food Delivery,367,,Mess workers,26,,,,,
,,Faculty,16,,Dayscholor,10,,Event Visitors,0,,CIE / Visitors,220,,,,,,,,
,Total ,,90,,Total,189,,Total,263,,Total,697,,Total,111,,,,,

,Daily Security Report  (Campus Entry / Exit Details),,,,,,,,,,,,,,,,,,,
,20-Feb-24,Department,count,,Department,count,,Department,count,,Department,count,,Department,count,,Total All count,,,
,,Palash Nivas,30,,Staff,70,,Security,63,,Aroyga & Bank,10,,Cabs,69,,1390,,,
,,Bakul Nivas,21,,Support staff,42,,Housekeeping,172,,Vendors,27,,House maids,13,,,,,
,,Kadamba Nivas,11,,ARL & I HUB,60,,Milk & Paper,8,,Couriers,76,,Civil Vendors,15,,,,,
,,Parijat Nivas,20,,Internship,0,,Visitors,15,,Food Delivery,366,,Mess workers,27,,,,,
,,Faculty,18,,Dayscholor,15,,Event Visitors,0,,CIE / Visitors,242,,,,,,,,
,Total ,,100,,Total,187,,Total,258,,Total,721,,Total,124,,,,,

