Date,Category,Count,Year,Month,Month_Name,Quarter,DayOfWeek,DayOfWeek_Num,IsWeekend,Week,Month_Year,Category_Original
2024-02-10,Palash Nivas,52,2024,2,Feb,1,Saturday,5,True,6,2024-02,Palash Nivas
2024-02-10,Security,63,2024,2,Feb,1,Saturday,5,True,6,2024-02,Security
2024-02-10,Cabs,307,2024,2,Feb,1,Saturday,5,True,6,2024-02,Cabs
2024-02-10,Bakul Nivas,21,2024,2,Feb,1,Saturday,5,True,6,2024-02,Bakul Nivas
2024-02-10,Housekeeping,168,2024,2,Feb,1,Saturday,5,True,6,2024-02,Housekeeping
2024-02-10,Housekeeping,12,2024,2,Feb,1,Saturday,5,True,6,2024-02,House Maids
2024-02-10,Kadamba Nivas,10,2024,2,Feb,1,Saturday,5,True,6,2024-02,Kadamba Nivas
2024-02-10,Milk & Paper,8,2024,2,Feb,1,Saturday,5,True,6,2024-02,Milk & Paper
2024-02-10,Vendors,12,2024,2,Feb,1,Saturday,5,True,6,2024-02,Civil Vendors
2024-02-10,Parijat Nivas,13,2024,2,Feb,1,Saturday,5,True,6,2024-02,Parijat Nivas
2024-02-10,Visitors,23,2024,2,Feb,1,Saturday,5,True,6,2024-02,Visitors
2024-02-10,Mess Workers,27,2024,2,Feb,1,Saturday,5,True,6,2024-02,Mess Workers
2024-02-10,Faculty,14,2024,2,Feb,1,Saturday,5,True,6,2024-02,Faculty
2024-02-10,Event Visitors,303,2024,2,Feb,1,Saturday,5,True,6,2024-02,Event Visitors
2024-02-11,Palash Nivas,22,2024,2,Feb,1,Sunday,6,True,6,2024-02,Palash Nivas
2024-02-11,Security,63,2024,2,Feb,1,Sunday,6,True,6,2024-02,Security
2024-02-11,Cabs,210,2024,2,Feb,1,Sunday,6,True,6,2024-02,Cabs
2024-02-11,Bakul Nivas,19,2024,2,Feb,1,Sunday,6,True,6,2024-02,Bakul Nivas
2024-02-11,Housekeeping,35,2024,2,Feb,1,Sunday,6,True,6,2024-02,Housekeeping
2024-02-11,Housekeeping,2,2024,2,Feb,1,Sunday,6,True,6,2024-02,House Maids
2024-02-11,Kadamba Nivas,10,2024,2,Feb,1,Sunday,6,True,6,2024-02,Kadamba Nivas
2024-02-11,Milk & Paper,8,2024,2,Feb,1,Sunday,6,True,6,2024-02,Milk & Paper
2024-02-11,Vendors,2,2024,2,Feb,1,Sunday,6,True,6,2024-02,Civil Vendors
2024-02-11,Parijat Nivas,27,2024,2,Feb,1,Sunday,6,True,6,2024-02,Parijat Nivas
2024-02-11,Visitors,5,2024,2,Feb,1,Sunday,6,True,6,2024-02,Visitors
2024-02-11,Mess Workers,18,2024,2,Feb,1,Sunday,6,True,6,2024-02,Mess Workers
2024-02-11,Event Visitors,407,2024,2,Feb,1,Sunday,6,True,6,2024-02,Event Visitors
2024-02-12,Palash Nivas,22,2024,2,Feb,1,Monday,0,False,7,2024-02,Palash Nivas
2024-02-12,Security,63,2024,2,Feb,1,Monday,0,False,7,2024-02,Security
2024-02-12,Cabs,72,2024,2,Feb,1,Monday,0,False,7,2024-02,Cabs
2024-02-12,Bakul Nivas,14,2024,2,Feb,1,Monday,0,False,7,2024-02,Bakul Nivas
2024-02-12,Housekeeping,162,2024,2,Feb,1,Monday,0,False,7,2024-02,Housekeeping
2024-02-12,Housekeeping,15,2024,2,Feb,1,Monday,0,False,7,2024-02,House Maids
2024-02-12,Kadamba Nivas,12,2024,2,Feb,1,Monday,0,False,7,2024-02,Kadamba Nivas
2024-02-12,Milk & Paper,11,2024,2,Feb,1,Monday,0,False,7,2024-02,Milk & Paper
2024-02-12,Vendors,14,2024,2,Feb,1,Monday,0,False,7,2024-02,Civil Vendors
2024-02-12,Parijat Nivas,17,2024,2,Feb,1,Monday,0,False,7,2024-02,Parijat Nivas
2024-02-12,Visitors,13,2024,2,Feb,1,Monday,0,False,7,2024-02,Visitors
2024-02-12,Mess Workers,36,2024,2,Feb,1,Monday,0,False,7,2024-02,Mess Workers
2024-02-12,Faculty,18,2024,2,Feb,1,Monday,0,False,7,2024-02,Faculty
2024-02-13,Palash Nivas,18,2024,2,Feb,1,Tuesday,1,False,7,2024-02,Palash Nivas
2024-02-13,Security,63,2024,2,Feb,1,Tuesday,1,False,7,2024-02,Security
2024-02-13,Cabs,78,2024,2,Feb,1,Tuesday,1,False,7,2024-02,Cabs
2024-02-13,Bakul Nivas,16,2024,2,Feb,1,Tuesday,1,False,7,2024-02,Bakul Nivas
2024-02-13,Housekeeping,160,2024,2,Feb,1,Tuesday,1,False,7,2024-02,Housekeeping
2024-02-13,Housekeeping,11,2024,2,Feb,1,Tuesday,1,False,7,2024-02,House Maids
2024-02-13,Kadamba Nivas,11,2024,2,Feb,1,Tuesday,1,False,7,2024-02,Kadamba Nivas
2024-02-13,Milk & Paper,11,2024,2,Feb,1,Tuesday,1,False,7,2024-02,Milk & Paper
2024-02-13,Vendors,11,2024,2,Feb,1,Tuesday,1,False,7,2024-02,Civil Vendors
2024-02-13,Parijat Nivas,20,2024,2,Feb,1,Tuesday,1,False,7,2024-02,Parijat Nivas
2024-02-13,Visitors,14,2024,2,Feb,1,Tuesday,1,False,7,2024-02,Visitors
2024-02-13,Mess Workers,22,2024,2,Feb,1,Tuesday,1,False,7,2024-02,Mess Workers
2024-02-13,Faculty,12,2024,2,Feb,1,Tuesday,1,False,7,2024-02,Faculty
2024-02-14,Palash Nivas,21,2024,2,Feb,1,Wednesday,2,False,7,2024-02,Palash Nivas
2024-02-14,Security,63,2024,2,Feb,1,Wednesday,2,False,7,2024-02,Security
2024-02-14,Cabs,68,2024,2,Feb,1,Wednesday,2,False,7,2024-02,Cabs
2024-02-14,Bakul Nivas,12,2024,2,Feb,1,Wednesday,2,False,7,2024-02,Bakul Nivas
2024-02-14,Housekeeping,168,2024,2,Feb,1,Wednesday,2,False,7,2024-02,Housekeeping
2024-02-14,Housekeeping,14,2024,2,Feb,1,Wednesday,2,False,7,2024-02,House Maids
2024-02-14,Kadamba Nivas,8,2024,2,Feb,1,Wednesday,2,False,7,2024-02,Kadamba Nivas
2024-02-14,Milk & Paper,11,2024,2,Feb,1,Wednesday,2,False,7,2024-02,Milk & Paper
2024-02-14,Vendors,17,2024,2,Feb,1,Wednesday,2,False,7,2024-02,Civil Vendors
2024-02-14,Parijat Nivas,16,2024,2,Feb,1,Wednesday,2,False,7,2024-02,Parijat Nivas
2024-02-14,Visitors,18,2024,2,Feb,1,Wednesday,2,False,7,2024-02,Visitors
2024-02-14,Mess Workers,30,2024,2,Feb,1,Wednesday,2,False,7,2024-02,Mess Workers
2024-02-14,Faculty,17,2024,2,Feb,1,Wednesday,2,False,7,2024-02,Faculty
2024-02-15,Palash Nivas,30,2024,2,Feb,1,Thursday,3,False,7,2024-02,Palash Nivas
2024-02-15,Security,63,2024,2,Feb,1,Thursday,3,False,7,2024-02,Security
2024-02-15,Cabs,66,2024,2,Feb,1,Thursday,3,False,7,2024-02,Cabs
2024-02-15,Bakul Nivas,18,2024,2,Feb,1,Thursday,3,False,7,2024-02,Bakul Nivas
2024-02-15,Housekeeping,168,2024,2,Feb,1,Thursday,3,False,7,2024-02,Housekeeping
2024-02-15,Housekeeping,13,2024,2,Feb,1,Thursday,3,False,7,2024-02,House Maids
2024-02-15,Kadamba Nivas,20,2024,2,Feb,1,Thursday,3,False,7,2024-02,Kadamba Nivas
2024-02-15,Milk & Paper,11,2024,2,Feb,1,Thursday,3,False,7,2024-02,Milk & Paper
2024-02-15,Vendors,15,2024,2,Feb,1,Thursday,3,False,7,2024-02,Civil Vendors
2024-02-15,Parijat Nivas,25,2024,2,Feb,1,Thursday,3,False,7,2024-02,Parijat Nivas
2024-02-15,Visitors,19,2024,2,Feb,1,Thursday,3,False,7,2024-02,Visitors
2024-02-15,Mess Workers,40,2024,2,Feb,1,Thursday,3,False,7,2024-02,Mess Workers
2024-02-15,Faculty,16,2024,2,Feb,1,Thursday,3,False,7,2024-02,Faculty
2024-02-15,Event Visitors,95,2024,2,Feb,1,Thursday,3,False,7,2024-02,Event Visitors
2024-02-16,Palash Nivas,30,2024,2,Feb,1,Friday,4,False,7,2024-02,Palash Nivas
2024-02-16,Security,63,2024,2,Feb,1,Friday,4,False,7,2024-02,Security
2024-02-16,Cabs,223,2024,2,Feb,1,Friday,4,False,7,2024-02,Cabs
2024-02-16,Bakul Nivas,21,2024,2,Feb,1,Friday,4,False,7,2024-02,Bakul Nivas
2024-02-16,Housekeeping,172,2024,2,Feb,1,Friday,4,False,7,2024-02,Housekeeping
2024-02-16,Housekeeping,14,2024,2,Feb,1,Friday,4,False,7,2024-02,House Maids
2024-02-16,Kadamba Nivas,12,2024,2,Feb,1,Friday,4,False,7,2024-02,Kadamba Nivas
2024-02-16,Milk & Paper,10,2024,2,Feb,1,Friday,4,False,7,2024-02,Milk & Paper
2024-02-16,Vendors,19,2024,2,Feb,1,Friday,4,False,7,2024-02,Civil Vendors
2024-02-16,Parijat Nivas,25,2024,2,Feb,1,Friday,4,False,7,2024-02,Parijat Nivas
2024-02-16,Visitors,33,2024,2,Feb,1,Friday,4,False,7,2024-02,Visitors
2024-02-16,Mess Workers,31,2024,2,Feb,1,Friday,4,False,7,2024-02,Mess Workers
2024-02-16,Faculty,18,2024,2,Feb,1,Friday,4,False,7,2024-02,Faculty
2024-02-17,Palash Nivas,32,2024,2,Feb,1,Saturday,5,True,7,2024-02,Palash Nivas
2024-02-17,Security,63,2024,2,Feb,1,Saturday,5,True,7,2024-02,Security
2024-02-17,Cabs,64,2024,2,Feb,1,Saturday,5,True,7,2024-02,Cabs
2024-02-17,Bakul Nivas,16,2024,2,Feb,1,Saturday,5,True,7,2024-02,Bakul Nivas
2024-02-17,Housekeeping,176,2024,2,Feb,1,Saturday,5,True,7,2024-02,Housekeeping
2024-02-17,Housekeeping,14,2024,2,Feb,1,Saturday,5,True,7,2024-02,House Maids
2024-02-17,Kadamba Nivas,11,2024,2,Feb,1,Saturday,5,True,7,2024-02,Kadamba Nivas
2024-02-17,Milk & Paper,12,2024,2,Feb,1,Saturday,5,True,7,2024-02,Milk & Paper
2024-02-17,Vendors,26,2024,2,Feb,1,Saturday,5,True,7,2024-02,Civil Vendors
2024-02-17,Parijat Nivas,25,2024,2,Feb,1,Saturday,5,True,7,2024-02,Parijat Nivas
2024-02-17,Visitors,28,2024,2,Feb,1,Saturday,5,True,7,2024-02,Visitors
2024-02-17,Mess Workers,29,2024,2,Feb,1,Saturday,5,True,7,2024-02,Mess Workers
2024-02-17,Faculty,12,2024,2,Feb,1,Saturday,5,True,7,2024-02,Faculty
2024-02-17,Event Visitors,139,2024,2,Feb,1,Saturday,5,True,7,2024-02,Event Visitors
2024-02-18,Palash Nivas,40,2024,2,Feb,1,Sunday,6,True,7,2024-02,Palash Nivas
2024-02-18,Security,63,2024,2,Feb,1,Sunday,6,True,7,2024-02,Security
2024-02-18,Cabs,58,2024,2,Feb,1,Sunday,6,True,7,2024-02,Cabs
2024-02-18,Bakul Nivas,31,2024,2,Feb,1,Sunday,6,True,7,2024-02,Bakul Nivas
