Month_Year,Total_Visitors,First_Date,Month_Year_Str,YearMonth,MoM_Growth,MoM_Growth_Absolute
2024-02,10901,2024-02-10,2024-02,2024-02,,
2024-03,20814,2024-03-01,2024-03,2024-03,90.93661132006238,9913.0
2024-04,19119,2024-04-01,2024-04,2024-04,-8.143557221101183,-1695.0
2024-05,18850,2024-05-01,2024-05,2024-05,-1.4069773523719853,-269.0
2024-06,22121,2024-06-01,2024-06,2024-06,17.352785145888603,3271.0
2024-07,20062,2024-07-01,2024-07,2024-07,-9.307897472989469,-2059.0
2024-08,19850,2024-08-01,2024-08,2024-08,-1.0567241551191264,-212.0
2024-09,19182,2024-09-01,2024-09,2024-09,-3.3652392947103316,-668.0
2024-10,19457,2024-10-01,2024-10,2024-10,1.4336357001355493,275.0
2024-11,20806,2024-11-01,2024-11,2024-11,6.93323739528191,1349.0
2024-12,20780,2024-12-01,2024-12,2024-12,-0.12496395270594762,-26.0
2025-01,21601,2025-01-01,2025-01,2025-01,3.9509143407122194,821.0
2025-02,19941,2025-02-01,2025-02,2025-02,-7.684829406046012,-1660.0
2025-03,22379,2025-03-01,2025-03,2025-03,12.226066897347177,2438.0
2025-04,21572,2025-04-01,2025-04,2025-04,-3.6060592519773005,-807.0
2025-05,17350,2025-05-01,2025-05,2025-05,-19.571666975709256,-4222.0
2025-06,18723,2025-06-01,2025-06,2025-06,7.913544668587891,1373.0
2025-07,20739,2025-07-01,2025-07,2025-07,10.767505207498807,2016.0
2025-08,19655,2025-08-01,2025-08,2025-08,-5.226867254930323,-1084.0
2025-09,18031,2025-09-01,2025-09,2025-09,-8.262528618672093,-1624.0
