Category,Total_Count,Avg_Daily,StdDev,Min_Daily,Max_Daily,Days_Active,Percentage,Coefficient_of_Variation,Stability
Cabs,105737,250.5616113744076,78.43907568343651,26,625,422,26.97833558286748,31.30530461277529,Medium
Housekeeping,73418,73.12549800796813,74.00603696139116,1,189,586,18.73228332393547,101.20414763305554,Low
Food & Courier Delivery,45737,55.77682926829268,60.23316680282198,2,373,165,11.669596589212953,107.9895856272034,Low
Vendors,35097,46.858477970627504,25.12053825190369,1,137,587,8.954846874338216,53.60937729913059,Medium
Security,27074,64.1563981042654,0.9767824016324826,63,65,422,6.907813325236711,1.522501933548451,High
Event Visitors,20419,111.5792349726776,126.53798024927283,5,875,183,5.20981902519053,113.40638809744321,Low
Staff,19866,48.33576642335766,26.80042155809589,1,91,165,5.068723480799013,55.446356893070636,Medium
Mess Workers,16733,28.554607508532424,8.976203350962136,1,66,586,4.269352159680354,31.435218811114634,Medium
Visitors,13843,29.266384778012686,29.211837175743344,1,275,473,3.5319812314859935,99.8136168758694,Low
Palash Nivas,7293,13.0,11.891924030318108,1,81,561,1.8607772246787078,91.47633869475467,Low
Faculty,7188,13.930232558139535,4.721257108406167,1,48,516,1.8339869314398123,33.89216288171372,Medium
Milk & Paper,7092,12.081771720613288,3.1687668808338096,6,35,587,1.809492949049965,26.227667217279276,High
Parijat Nivas,4535,8.290676416819013,7.003502845414202,1,48,547,1.1570855222703882,84.47444446398167,Low
Bakul Nivas,2192,9.095435684647303,8.446598176004816,1,44,241,0.5592792645681788,92.86633943508946,Low
Kadamba Nivas,1494,4.368421052631579,4.684027563449713,1,21,342,0.3811876009419978,107.22472735607778,Low
Aroyga & Bank,1457,8.83030303030303,2.633332865549557,1,14,165,0.37174721189591076,29.82154583498126,High
Magic Pin,1151,8.221428571428572,6.7792190475114324,1,32,140,0.2936726430282727,82.4579206474023,Low
Bikes,521,32.5625,7.702542870160911,18,47,16,0.13293088359490013,23.654642211626598,High
Alumini,349,4.847222222222222,11.57177201936815,1,100,72,0.0890458318130905,238.7299671617498,Low
Heavy Vehicles,317,9.90625,4.986170390318639,1,21,32,0.08088117101647475,50.33358122719132,Medium
Lost & Found,261,10.875,16.598356387986392,1,51,24,0.0665930146223972,152.6285644872312,Low
Garbage,59,1.84375,0.6278162356983543,1,3,32,0.015053593343760285,34.05105007177515,Medium
Visitors Vehicle,55,55.0,,55,55,1,0.014033010744183316,,Low
Visitors Vechile,45,45.0,,45,45,1,0.011481554245240897,,Low
