Category,First_3_Months_Total,Last_3_Months_Total,Growth_Absolute,Growth_Percentage
Alumini,0.0,349.0,349.0,0.0
Aroyga & Bank,0.0,764.0,764.0,0.0
Bakul Nivas,1367.0,81.0,-1286.0,-94.07461594732992
Cabs,15680.0,0.0,-15680.0,-100.0
Event Visitors,4383.0,0.0,-4383.0,-100.0
Faculty,965.0,1139.0,174.0,18.031088082901555
Food & Courier Delivery,0.0,24026.0,24026.0,0.0
Garbage,0.0,59.0,59.0,0.0
Heavy Vehicles,0.0,317.0,317.0,0.0
Housekeeping,12518.0,2042.0,-10476.0,-83.68749001437929
Kadamba Nivas,878.0,184.0,-694.0,-79.04328018223235
Lost & Found,0.0,261.0,261.0,0.0
Magic Pin,0.0,608.0,608.0,0.0
Mess Workers,2449.0,3420.0,971.0,39.64883625969783
Milk & Paper,807.0,996.0,189.0,23.42007434944238
Palash Nivas,2449.0,471.0,-1978.0,-80.76766026949775
Parijat Nivas,1405.0,233.0,-1172.0,-83.41637010676156
Security,5103.0,0.0,-5103.0,-100.0
Staff,0.0,11507.0,11507.0,0.0
Vendors,968.0,9689.0,8721.0,900.9297520661157
Visitors,1862.0,2179.0,317.0,17.024704618689583
Visitors Vechile,0.0,45.0,45.0,0.0
Visitors Vehicle,0.0,55.0,55.0,0.0
