Category,Unique_Days,Total_Records,Frequency_Percentage,Regularity
Alumini,72,72,12.265758091993186,Rare
Aroyga & Bank,165,165,28.109028960817717,Occasional
Bakul Nivas,241,241,41.05621805792163,Occasional
Bikes,16,16,2.72572402044293,Rare
Cabs,422,422,71.89097103918229,Frequent
Event Visitors,183,183,31.175468483816015,Occasional
Faculty,516,516,87.9045996592845,Frequent
Food & Courier Delivery,165,820,28.109028960817717,Occasional
Garbage,32,32,5.45144804088586,Rare
Heavy Vehicles,32,32,5.45144804088586,Rare
Housekeeping,586,1004,99.82964224872232,Daily
Kadamba Nivas,342,342,58.262350936967636,Frequent
Lost & Found,24,24,4.088586030664395,Rare
Magic Pin,140,140,23.850085178875638,Occasional
Mess Workers,586,586,99.82964224872232,Daily
Milk & Paper,587,587,100.0,Daily
Palash Nivas,561,561,95.57069846678023,Daily
Parijat Nivas,547,547,93.18568994889267,Daily
Security,422,422,71.89097103918229,Frequent
Staff,165,411,28.109028960817717,Occasional
Vendors,587,749,100.0,Daily
Visitors,473,473,80.57921635434411,Frequent
Visitors Vechile,1,1,0.17035775127768313,Rare
Visitors Vehicle,1,1,0.17035775127768313,Rare
