Month_Year,Total_Visitors,Avg_Daily,StdDev,Days_With_Data,Unique_Categories,Month_Year_Str
2024-02,10901,40.52416356877323,53.80336964898283,20,13,2024-02
2024-03,20814,50.15421686746988,79.53794904607027,31,13,2024-03
2024-04,19119,48.525380710659896,70.80098341406861,30,13,2024-04
2024-05,18850,49.088541666666664,72.55646922271055,31,13,2024-05
2024-06,22121,54.89081885856079,78.33816851854677,30,13,2024-06
2024-07,20062,54.36856368563686,78.73155193403892,30,13,2024-07
2024-08,19850,55.91549295774648,75.7104852985963,30,13,2024-08
2024-09,19182,56.417647058823526,79.62505598220983,30,13,2024-09
2024-10,19457,56.89181286549707,79.81755216526017,30,13,2024-10
2024-11,20806,60.65889212827988,84.09749790068071,30,13,2024-11
2024-12,20780,57.40331491712707,75.37998139843947,31,13,2024-12
2025-01,21601,59.34340659340659,87.31104074053354,31,13,2025-01
2025-02,19941,62.12149532710281,92.2784214632923,27,13,2025-02
2025-03,22379,62.8623595505618,97.62114547573341,29,14,2025-03
2025-04,21572,47.203501094091905,74.1377344671793,30,18,2025-04
2025-05,17350,33.11068702290076,41.14414292975182,31,14,2025-05
2025-06,18723,32.00512820512821,33.70106763824923,30,14,2025-06
2025-07,20739,33.998360655737706,36.182510321111835,31,15,2025-07
2025-08,19655,32.38056013179572,34.67123027708506,30,19,2025-08
2025-09,18031,32.96343692870201,38.58716569876642,25,17,2025-09
